         ps       /tb_lut_tanh/r_in              
          delta           /tb_lut_tanh/r_out     
     168000  +4            00101001 00111000 
     169000  +1            00101010 00111000 
     170000  +1            00101011 00111000 
     170000  +4            00101011 00111001 
     171000  +1            00101100 00111001 
     172000  +1            00101101 00111001 
     173000  +1            00101110 00111001 
     173000  +4            00101110 00111010 
     174000  +1            00101111 00111010 
     175000  +1            00110000 00111010 
     175000  +4            00110000 00111011 
     176000  +1            00110001 00111011 
     177000  +1            00110010 00111011 
     178000  +1            00110011 00111011 
     178000  +4            00110011 00111100 
     179000  +1            00110100 00111100 
     180000  +1            00110101 00111100 
     181000  +1            00110110 00111100 
     182000  +1            00110111 00111100 
     182000  +4            00110111 00111101 
     183000  +1            00111000 00111101 
     184000  +1            00111001 00111101 
     185000  +1            00111010 00111101 
     186000  +1            00111011 00111101 
     187000  +1            00111100 00111101 
     187000  +4            00111100 00111110 
     188000  +1            00111101 00111110 
     189000  +1            00111110 00111110 
     190000  +1            00111111 00111110 
     191000  +1            01000000 00111110 
     192000  +1            01000001 00111110 
     193000  +1            01000010 00111110 
     193000  +4            01000010 00111111 
     194000  +1            01000011 00111111 
     195000  +1            01000100 00111111 
     196000  +1            01000101 00111111 
     197000  +1            01000110 00111111 
     198000  +1            01000111 00111111 
     199000  +1            01001000 00111111 
     200000  +1            01001001 00111111 
     201000  +1            01001010 00111111 
     202000  +1            01001011 00111111 
     203000  +1            01001100 00111111 
     204000  +1            01001101 00111111 
     205000  +1            01001110 00111111 
     206000  +1            01001111 00111111 
     207000  +1            01010000 00111111 
     208000  +1            01010001 00111111 
     209000  +1            01010010 00111111 
     210000  +1            01010011 00111111 
     211000  +1            01010100 00111111 
     212000  +1            01010101 00111111 
     213000  +1            01010110 00111111 
     214000  +1            01010111 00111111 
     215000  +1            01011000 00111111 
     216000  +1            01011001 00111111 
     217000  +1            01011010 00111111 
     218000  +1            01011011 00111111 
     219000  +1            01011100 00111111 
     220000  +1            01011101 00111111 
     221000  +1            01011110 00111111 
     222000  +1            01011111 00111111 
     223000  +1            01100000 00111111 
